Prov/Terr,FED ID,Federal Electoral Districts,Total,Total Income,"Under $5,000","$5,000 to $9,999","$10,000 to $14,999","$15,000 to $19,999","$20,000 to $24,999","$25,000 to $29,999","$30,000 to $34,999","$35,000 to $39,999","$40,000 to $44,999","$45,000 to $49,999","$50,000 to $54,999","$55,000 to $59,999","$60,000 to $69,999","$70,000 to $79,999","$80,000 to $89,999","$90,000 to $99,999","$100,000 to $149,999","$150,000 to $249,999","$250,000 and over",
24,24026,Gaspésie--Les Îles-de-la-Madeleine,32850,1267088000 ,1460 ,1990 ,2830 ,4120 ,2570 ,2460 ,2920 ,2670 ,2200 ,1770 ,1370 ,1070 ,1570 ,1180 ,760 ,550 ,980 ,280 ,100 ,
24,24027,Gatineau,39510,1977369000 ,2050 ,2280 ,2850 ,2720 ,2370 ,2190 ,2270 ,2450 ,2440 ,2200 ,2080 ,1940 ,3250 ,2380 ,1870 ,1240 ,2270 ,510 ,150 ,
24,24028,Hochelaga,41260,1655626000 ,2970 ,3860 ,4040 ,3880 ,3020 ,2590 ,2540 ,2620 ,2320 ,1990 ,1690 ,1480 ,2240 ,1710 ,1230 ,820 ,1600 ,480 ,200 ,
24,24029,Honoré-Mercier,38100,1649741000 ,2850 ,2480 ,2950 ,3410 ,2970 ,2590 ,2530 ,2490 ,2310 ,2040 ,1760 ,1460 ,2260 ,1650 ,1130 ,800 ,1660 ,520 ,240 ,
24,24030,Hull--Aylmer,36970,1908289000 ,2480 ,2590 ,2830 ,2580 ,2180 ,1880 ,1830 ,1910 ,1840 ,1720 ,1640 ,1550 ,2700 ,2140 ,1760 ,1370 ,2880 ,820 ,290 ,
24,24031,Joliette,41810,1741259000 ,2480 ,2870 ,3400 ,4300 ,3330 ,2790 ,2850 ,2940 ,2770 ,2140 ,1880 ,1640 ,2620 ,1910 ,1140 ,750 ,1310 ,440 ,240 ,
24,24032,Jonquière,37070,1832839000 ,1510 ,1940 ,2250 ,2560 ,2160 ,2090 ,2220 ,2520 ,2640 ,2640 ,2260 ,1880 ,2860 ,1910 ,1260 ,1180 ,2510 ,510 ,190 ,
24,24033,La Pointe-de-l'Île,40430,1728099000 ,2470 ,2760 ,3210 ,3260 ,2720 ,2580 ,2550 ,2910 ,2670 ,2290 ,1970 ,1800 ,2810 ,2020 ,1340 ,910 ,1630 ,430 ,130 ,
24,24034,La Prairie,41800,2455108000 ,2910 ,1790 ,2340 ,2500 ,2220 ,2010 ,2050 ,2360 ,2340 ,2100 ,2130 ,1910 ,3370 ,2820 ,2090 ,1620 ,3450 ,1200 ,620 ,
24,24035,Lac-Saint-Jean,43650,1943354000 ,2170 ,2310 ,2890 ,4150 ,3080 ,2670 ,2900 ,3210 ,3040 ,2790 ,2480 ,2080 ,3010 ,2040 ,1360 ,1020 ,1830 ,460 ,200 ,
24,24036,Lac-Saint-Louis,40340,3098985000 ,3430 ,2330 ,2730 ,2380 ,1990 ,1770 ,1750 ,1850 ,1790 ,1590 ,1470 ,1310 ,2360 ,2080 ,1770 ,1440 ,4290 ,2430 ,1600 ,
24,24037,LaSalle--Émard--Verdun,40560,1611535000 ,3340 ,3320 ,3870 ,3600 ,2990 ,2580 ,2640 ,2670 ,2380 ,1970 ,1680 ,1440 ,2230 ,1730 ,1200 ,820 ,1530 ,410 ,170 ,
24,24038,Laurentides--Labelle,47190,2133606000 ,2290 ,3000 ,3850 ,5200 ,3880 ,3340 ,3210 ,3320 ,3040 ,2640 ,2130 ,1770 ,2640 ,1910 ,1210 ,900 ,1710 ,770 ,400 ,
24,24039,Laurier--Sainte-Marie,46890,2159101000 ,4020 ,4500 ,4790 ,4510 ,2770 ,2480 ,2340 ,2340 ,2200 ,1830 ,1710 ,1570 ,2600 ,2210 ,1660 ,1180 ,2680 ,980 ,540 ,
24,24040,Laval--Les Îles,40470,2069575000 ,2980 ,2450 ,3330 ,3640 ,2790 ,2310 ,2220 ,2270 ,2210 ,1900 ,1720 ,1510 ,2410 ,2120 ,1480 ,1190 ,2560 ,910 ,490 ,
24,24041,Longueuil--Charles-LeMoyne,41260,1615894000 ,2710 ,3030 ,3740 ,3560 ,3070 ,2790 ,2820 ,2940 ,2650 ,2320 ,1940 ,1620 ,2460 ,1990 ,1160 ,790 ,1320 ,300 ,70 ,
24,24042,Lévis--Lotbinière,44770,2423047000 ,1630 ,1740 ,2410 ,2910 ,2440 ,2290 ,2630 ,2920 ,3100 ,3010 ,2780 ,2390 ,3890 ,3090 ,2100 ,1430 ,2710 ,930 ,370 ,
24,24043,Longueuil--Saint-Hubert,41640,2147886000 ,2510 ,2590 ,3050 ,3060 ,2630 ,2400 ,2430 ,2670 ,2470 ,2200 ,2020 ,1740 ,2920 ,2340 ,1600 ,1230 ,2470 ,840 ,470 ,
24,24044,Louis-Hébert,40600,2690775000 ,2550 ,2180 ,2510 ,2440 ,2030 ,1840 ,1900 ,2100 ,2110 ,1950 ,1990 ,1820 ,3010 ,2680 ,1980 ,1350 ,3450 ,1620 ,1090 ,
24,24045,Louis-Saint-Laurent,45290,2469616000 ,1880 ,1760 ,2270 ,2600 ,2310 ,2290 ,2520 ,2880 ,3110 ,2900 ,2770 ,2530 ,4570 ,3360 ,2260 ,1380 ,2700 ,840 ,360 ,
24,24046,Manicouagan,37410,1983226000 ,3000 ,1680 ,1980 ,2570 ,2000 ,1930 ,2220 ,2210 ,2100 ,1930 ,1690 ,1510 ,2390 ,1830 ,1600 ,1370 ,4450 ,800 ,160 ,
24,24047,Mégantic--L'Érable,36490,1444164000 ,1310 ,1920 ,2720 ,4120 ,3370 ,2890 ,2750 ,3190 ,2950 ,2300 ,1960 ,1480 ,1880 ,1250 ,710 ,440 ,830 ,290 ,150 ,
24,24048,Mirabel,44600,2267227000 ,2160 ,1990 ,2560 ,3070 ,2660 ,2420 ,2430 ,2790 ,2790 ,2610 ,2420 ,2310 ,3750 ,3260 ,2340 ,1570 ,2640 ,640 ,200 ,
