Summary Statistics of TFSA by Federal Electoral Districts,,,,,Contributions,,Withdrawals,,,,,,,,,,,,,,,,,
Prov/Terr,FED ID,Federal Electoral Districts,Number of Holders,FMV,(#),($),(#),($),,,,,,,,,,,,,,,,
35,35038,Hamilton West--Ancaster--Dundas,42330,785982000 ,27100 ,241637000 ,11250 ,78475000 ,,,,,,,,,,,,,,,,
35,35039,Hastings--Lennox and Addington,33620,518280000 ,21500 ,163610000 ,10860 ,57164000 ,,,,,,,,,,,,,,,,
35,35040,Huron--Bruce,39890,735391000 ,25700 ,214498000 ,11210 ,68602000 ,,,,,,,,,,,,,,,,
35,35041,Kanata--Carleton,43580,765753000 ,27790 ,244669000 ,11710 ,77897000 ,,,,,,,,,,,,,,,,
35,35042,Kenora,16760,234867000 ,10220 ,70733000 ,5000 ,24890000 ,,,,,,,,,,,,,,,,
35,35043,King--Vaughan,47510,660928000 ,28760 ,241536000 ,13070 ,89833000 ,,,,,,,,,,,,,,,,
35,35044,Kingston and the Islands,40100,713686000 ,26130 ,215959000 ,11860 ,69823000 ,,,,,,,,,,,,,,,,
35,35045,Kitchener Centre,36840,551578000 ,24270 ,177902000 ,12440 ,67819000 ,,,,,,,,,,,,,,,,
35,35046,Kitchener--Conestoga,35220,569161000 ,22850 ,176811000 ,10700 ,60586000 ,,,,,,,,,,,,,,,,
35,35047,Kitchener South--Hespeler,35340,473657000 ,23180 ,161192000 ,12450 ,65559000 ,,,,,,,,,,,,,,,,
35,35048,Lambton--Kent--Middlesex,37440,639816000 ,24160 ,193783000 ,10960 ,63315000 ,,,,,,,,,,,,,,,,
35,35049,Lanark--Frontenac--Kingston,34160,560576000 ,21570 ,169775000 ,10100 ,57604000 ,,,,,,,,,,,,,,,,
35,35050,Leeds--Grenville--Thousand Islands and Rideau Lakes,35320,583321000 ,22600 ,176307000 ,10760 ,61754000 ,,,,,,,,,,,,,,,,
35,35051,London--Fanshawe,37110,460252000 ,25350 ,159755000 ,14680 ,67329000 ,,,,,,,,,,,,,,,,
35,35052,London North Centre,44740,766171000 ,30130 ,243040000 ,14330 ,85372000 ,,,,,,,,,,,,,,,,
35,35053,London West,48280,807525000 ,32570 ,256679000 ,15640 ,88857000 ,,,,,,,,,,,,,,,,
35,35054,Markham--Stouffville,51720,811441000 ,32410 ,276256000 ,13780 ,96369000 ,,,,,,,,,,,,,,,,
35,35055,Markham--Thornhill,47440,743197000 ,31120 ,249440000 ,12150 ,89178000 ,,,,,,,,,,,,,,,,
35,35056,Markham--Unionville,56430,983945000 ,34160 ,332112000 ,12160 ,109580000 ,,,,,,,,,,,,,,,,
35,35057,Milton,36790,440934000 ,22950 ,167301000 ,11870 ,69211000 ,,,,,,,,,,,,,,,,
35,35058,Mississauga Centre,50940,682490000 ,34630 ,251538000 ,16610 ,102305000 ,,,,,,,,,,,,,,,,
35,35059,Mississauga East--Cooksville,47980,654291000 ,33260 ,224439000 ,16650 ,88975000 ,,,,,,,,,,,,,,,,
35,35060,Mississauga--Erin Mills,47590,704778000 ,30880 ,247097000 ,13690 ,88488000 ,,,,,,,,,,,,,,,,
35,35061,Mississauga--Lakeshore,48830,849343000 ,32380 ,273476000 ,13690 ,86739000 ,,,,,,,,,,,,,,,,
35,35062,Mississauga--Malton,44840,502873000 ,30390 ,198097000 ,15400 ,86151000 ,,,,,,,,,,,,,,,,
35,35063,Mississauga--Streetsville,45630,608721000 ,29820 ,220329000 ,14300 ,82119000 ,,,,,,,,,,,,,,,,
35,35064,Nepean,47710,755472000 ,30370 ,247007000 ,13830 ,84595000 ,,,,,,,,,,,,,,,,
35,35065,Newmarket--Aurora,45600,659617000 ,28720 ,239067000 ,13540 ,86294000 ,,,,,,,,,,,,,,,,
35,35066,Niagara Centre,34870,555200000 ,21780 ,167941000 ,10820 ,58091000 ,,,,,,,,,,,,,,,,
35,35067,Niagara Falls,45490,743659000 ,28780 ,229754000 ,13660 ,80167000 ,,,,,,,,,,,,,,,,
35,35068,Niagara West,33540,590180000 ,21220 ,177665000 ,9600 ,60584000 ,,,,,,,,,,,,,,,,
35,35069,Nickel Belt,30340,462700000 ,18700 ,141976000 ,8900 ,48480000 ,,,,,,,,,,,,,,,,
35,35070,Nipissing--Timiskaming,31370,492547000 ,20330 ,149384000 ,10040 ,54175000 ,,,,,,,,,,,,,,,,
35,35071,Northumberland--Peterborough South,39240,665400000 ,25120 ,206610000 ,11550 ,68778000 ,,,,,,,,,,,,,,,,
35,35072,Oakville,52390,1037232000 ,33000 ,319877000 ,11920 ,89018000 ,,,,,,,,,,,,,,,,
35,35073,Oakville North--Burlington,47330,743728000 ,29150 ,257400000 ,12560 ,88117000 ,,,,,,,,,,,,,,,,
35,35074,Oshawa,40670,541762000 ,26340 ,182772000 ,14660 ,71697000 ,,,,,,,,,,,,,,,,
35,35075,Ottawa Centre,48790,923810000 ,32050 ,280890000 ,13040 ,88823000 ,,,,,,,,,,,,,,,,
35,35076,Orléans,51820,831483000 ,33440 ,263080000 ,15360 ,90744000 ,,,,,,,,,,,,,,,,
35,35077,Ottawa South,44830,798668000 ,29730 ,242282000 ,12690 ,77513000 ,,,,,,,,,,,,,,,,
35,35078,Ottawa--Vanier,40300,703865000 ,26550 ,216232000 ,11920 ,69054000 ,,,,,,,,,,,,,,,,
35,35079,Ottawa West--Nepean,44520,842741000 ,29420 ,247399000 ,12270 ,76570000 ,,,,,,,,,,,,,,,,
35,35080,Oxford,43600,687499000 ,28810 ,209585000 ,14520 ,76951000 ,,,,,,,,,,,,,,,,
35,35081,Parkdale--High Park,42070,653723000 ,27080 ,217469000 ,12390 ,77627000 ,,,,,,,,,,,,,,,,
35,35082,Parry Sound--Muskoka,33080,559317000 ,20900 ,168754000 ,9860 ,56896000 ,,,,,,,,,,,,,,,,
35,35083,Perth--Wellington,40200,680387000 ,26330 ,196423000 ,12170 ,67203000 ,,,,,,,,,,,,,,,,
35,35084,Peterborough--Kawartha,40590,709667000 ,26300 ,214461000 ,12150 ,70636000 ,,,,,,,,,,,,,,,,
35,35085,Pickering--Uxbridge,43700,649800000 ,28440 ,222061000 ,13730 ,81131000 ,,,,,,,,,,,,,,,,
