Prov/Terr,FED ID,Federal Electoral Districts,Total,Total Income,Under 20,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,Over 75,,,,,,,
24,24048,Mirabel,89130,3791572000 ,3870 ,6820 ,7200 ,8800 ,9500 ,8440 ,8260 ,8860 ,7880 ,6170 ,5110 ,3550 ,4680 ,,,,,,,
24,24049,Montarville,77140,4306154000 ,3930 ,6010 ,4320 ,4820 ,6450 ,7160 ,7470 ,8240 ,7270 ,5870 ,5260 ,4190 ,6160 ,,,,,,,
24,24050,Montcalm,84010,3216489000 ,3500 ,6390 ,6930 ,7300 ,7930 ,7020 ,7200 ,8430 ,7790 ,6450 ,5510 ,3970 ,5610 ,,,,,,,
24,24051,Montmagny--L'Islet--Kamouraska--Rivière-du-Loup,80690,2840298000 ,3360 ,4890 ,4660 ,4940 ,5440 ,5130 ,5520 ,7470 ,8320 ,8110 ,7300 ,5500 ,10040 ,,,,,,,
24,24052,Mount Royal,79410,4817409000 ,3310 ,6120 ,5670 ,6390 ,7080 ,6880 ,6650 ,6480 ,5810 ,5330 ,5300 ,4150 ,10260 ,,,,,,,
24,24053,Notre-Dame-de-Grâce--Westmount,80710,6181149000 ,2920 ,6380 ,6790 ,7070 ,7110 ,6730 ,6580 ,6660 ,6240 ,5760 ,5450 ,3990 ,9040 ,,,,,,,
24,24054,Outremont,73980,3821324000 ,2320 ,7290 ,8740 ,8500 ,7750 ,6370 ,5110 ,5070 ,4650 ,4350 ,4000 ,3120 ,6720 ,,,,,,,
24,24055,Papineau,85320,2603106000 ,2170 ,6690 ,9910 ,10300 ,9410 ,7430 ,6610 ,6620 ,6190 ,5230 ,4260 ,3220 ,7290 ,,,,,,,
24,24056,Pierrefonds--Dollard,85570,3884502000 ,3880 ,7280 ,5800 ,5680 ,6330 ,6720 ,7510 ,8240 ,7940 ,7090 ,6290 ,4480 ,8340 ,,,,,,,
24,24057,Pontiac,87470,4070638000 ,3330 ,6060 ,6080 ,7240 ,7940 ,7940 ,8140 ,8990 ,8800 ,7390 ,5950 ,4110 ,5510 ,,,,,,,
24,24058,Portneuf--Jacques-Cartier,90240,4304584000 ,3860 ,5850 ,6410 ,7710 ,8420 ,7300 ,7220 ,8650 ,8790 ,7940 ,6590 ,4460 ,7040 ,,,,,,,
24,24059,Québec,79110,3278993000 ,1860 ,5190 ,7770 ,7110 ,6230 ,4690 ,4700 ,5930 ,6960 ,7140 ,6370 ,4880 ,10290 ,,,,,,,
24,24060,Repentigny,93700,4153283000 ,4030 ,7350 ,6010 ,6570 ,7470 ,7320 ,7650 ,9460 ,9650 ,7820 ,6780 ,5230 ,8360 ,,,,,,,
24,24061,Richmond--Arthabaska,87410,3167599000 ,3690 ,5860 ,5520 ,6290 ,6730 ,5860 ,6150 ,7810 ,8510 ,8410 ,7530 ,5460 ,9610 ,,,,,,,
24,24062,Rivière-des-Mille-Îles,83620,3825743000 ,3960 ,7160 ,5540 ,5750 ,6610 ,6620 ,7330 ,8980 ,8470 ,6800 ,5650 ,4390 ,6370 ,,,,,,,
24,24063,Rivière-du-Nord,89480,3408708000 ,3330 ,6730 ,6690 ,6710 ,6940 ,6660 ,7030 ,8670 ,8820 ,7650 ,6730 ,5270 ,8250 ,,,,,,,
24,24064,Rosemont--La Petite-Patrie,86050,3479433000 ,1730 ,5600 ,10110 ,11870 ,10660 ,7390 ,6240 ,6700 ,6420 ,5550 ,4250 ,2920 ,6630 ,,,,,,,
24,24065,Marc-Aurèle-Fortin,78800,3640337000 ,3710 ,6520 ,5090 ,5540 ,6810 ,7480 ,8130 ,8740 ,7810 ,5650 ,4380 ,3340 ,5610 ,,,,,,,
24,24066,Saint-Hyacinthe--Bagot,81860,3046796000 ,3580 ,5940 ,5670 ,6000 ,6530 ,5610 ,6090 ,7630 ,7930 ,7100 ,6370 ,4880 ,8520 ,,,,,,,
24,24067,Saint-Jean,89010,3639688000 ,3740 ,6790 ,6310 ,6820 ,7210 ,6660 ,7060 ,8480 ,8580 ,7490 ,6690 ,4960 ,8230 ,,,,,,,
24,24068,Saint-Laurent,76040,3111077000 ,2760 ,5570 ,5880 ,7150 ,7660 ,7400 ,6840 ,6250 ,5530 ,4630 ,4360 ,3430 ,8600 ,,,,,,,
24,24069,Saint-Léonard--Saint-Michel,85890,2562347000 ,2800 ,6080 ,6240 ,7320 ,8130 ,8220 ,7960 ,7160 ,6390 ,5340 ,5250 ,4230 ,10770 ,,,,,,,
24,24070,Saint-Maurice--Champlain,92780,3204341000 ,3100 ,5680 ,5340 ,5670 ,6060 ,5320 ,6030 ,8880 ,10560 ,9880 ,8460 ,6360 ,11460 ,,,,,,,
24,24071,Salaberry--Suroît,92760,3421327000 ,3600 ,6770 ,6640 ,6650 ,6820 ,6280 ,6960 ,8850 ,9340 ,8120 ,7370 ,5920 ,9430 ,,,,,,,
24,24072,Shefford,89880,3432311000 ,3790 ,6220 ,6040 ,6520 ,7330 ,6140 ,6640 ,8760 ,9090 ,8140 ,7190 ,5370 ,8650 ,,,,,,,
24,24073,Sherbrooke,89000,3260306000 ,3330 ,8130 ,8060 ,6930 ,6490 ,5590 ,5850 ,7190 ,7650 ,7290 ,6530 ,5430 ,10550 ,,,,,,,
24,24074,Vaudreuil--Soulanges,90980,4503201000 ,4180 ,6490 ,5370 ,6460 ,8470 ,8990 ,9000 ,9520 ,8410 ,7070 ,5990 ,4300 ,6730 ,,,,,,,
24,24075,Terrebonne,86220,3845907000 ,4100 ,7020 ,5930 ,6870 ,8520 ,8360 ,8090 ,9100 ,8110 ,6290 ,5220 ,3810 ,4800 ,,,,,,,
24,24076,Trois-Rivières,91210,3468371000 ,3150 ,6920 ,6420 ,6130 ,6030 ,5230 ,5850 ,7970 ,8830 ,8390 ,7600 ,6380 ,12340 ,,,,,,,
24,24077,Ville-Marie--Le Sud-Ouest--Île-des-Soeurs,103690,5722322000 ,2310 ,8820 ,12510 ,12060 ,9250 ,7010 ,6610 ,7630 ,7920 ,7340 ,6640 ,5070 ,10520 ,,,,,,,
24,24078,Vimy,89840,3248918000 ,2840 ,6850 ,7220 ,7120 ,7160 ,6600 ,6840 ,7480 ,7540 ,6550 ,5840 ,4920 ,12880 ,,,,,,,
TOTAL,,,6530360,275475575000 ,251510 ,476630 ,482490 ,512860 ,541530 ,497630 ,511570 ,608600 ,615000 ,545170 ,477140 ,363630 ,646610 ,,,,,,,
35,35001,Ajax,89530,4178499000 ,3830 ,8180 ,7490 ,7970 ,8390 ,8300 ,8440 ,9450 ,8120 ,5930 ,4870 ,3150 ,5410 ,,,,,,,
35,35002,Algoma--Manitoulin--Kapuskasing,65030,2538043000 ,2410 ,4070 ,3820 ,3670 ,3520 ,3950 ,4550 ,6160 ,7240 ,6710 ,6470 ,4620 ,7850 ,,,,,,,
35,35003,Aurora--Oak Ridges--Richmond Hill,89310,4881027000 ,4620 ,7790 ,6280 ,5640 ,6840 ,9690 ,11090 ,10390 ,8130 ,5510 ,4450 ,3170 ,5730 ,,,,,,,
35,35004,Barrie--Innisfil,82210,3884334000 ,4040 ,7050 ,6240 ,6680 ,7170 ,7830 ,8230 ,8700 ,6860 ,5230 ,4540 ,3410 ,6260 ,,,,,,,
35,35005,Barrie--Springwater--Oro-Medonte,75550,3557508000 ,3220 ,6910 ,6670 ,5990 ,5510 ,5400 ,5930 ,7510 ,7020 ,5740 ,4930 ,3620 ,7090 ,,,,,,,
35,35006,Bay of Quinte,88420,3659177000 ,3080 ,6280 ,6170 ,6040 ,5720 ,5580 ,6260 ,8390 ,8330 ,7890 ,7610 ,5700 ,11370 ,,,,,,,
35,35007,Beaches--East York,81060,4599808000 ,2340 ,5270 ,5980 ,7670 ,8410 ,8040 ,7880 ,8050 ,7180 ,6070 ,4780 ,3170 ,6220 ,,,,,,,
35,35008,Brampton Centre,80100,2885757000 ,3110 ,7100 ,7230 ,7660 ,7220 ,6820 ,7120 ,7490 ,6760 ,5430 ,4950 ,3740 ,5500 ,,,,,,,
35,35009,Brampton East,92890,3171235000 ,4690 ,9330 ,8910 ,9560 ,10100 ,9940 ,8960 ,7610 ,6420 ,5340 ,4650 ,3210 ,4160 ,,,,,,,
35,35010,Brampton North,91910,3511566000 ,4400 ,8880 ,8450 ,8540 ,8250 ,8120 ,8380 ,8780 ,7560 ,6550 ,5550 ,3560 ,4910 ,,,,,,,
35,35011,Brampton South,93310,3386153000 ,4460 ,9530 ,8990 ,8960 ,8560 ,7980 ,8040 ,8020 ,7130 ,6080 ,5200 ,3660 ,6690 ,,,,,,,
35,35012,Brampton West,93140,3479076000 ,4410 ,8610 ,8830 ,10530 ,11000 ,10390 ,9410 ,8230 ,6380 ,5050 ,4130 ,2670 ,3510 ,,,,,,,
35,35013,Brantford--Brant,101300,4222021000 ,3990 ,7880 ,7920 ,8140 ,7960 ,7910 ,8060 ,9370 ,9030 ,8340 ,7350 ,5170 ,10190 ,,,,,,,
35,35014,Bruce--Grey--Owen Sound,85530,3560343000 ,3260 ,5860 ,5440 ,5250 ,5040 ,5060 ,5810 ,7790 ,8400 ,8460 ,8160 ,5960 ,11050 ,,,,,,,
35,35015,Burlington,99130,6142008000 ,3800 ,6880 ,6850 ,6990 ,6900 ,7210 ,7840 ,9120 ,8690 ,7520 ,7460 ,6250 ,13650 ,,,,,,,
35,35016,Cambridge,89490,4106068000 ,4020 ,7240 ,7460 ,7210 ,7090 ,7590 ,7810 ,8830 ,7740 ,6630 ,5870 ,4130 ,7880 ,,,,,,,
35,35017,Chatham-Kent--Leamington,99350,3860368000 ,4230 ,6880 ,7140 ,7850 ,8000 ,8140 ,8010 ,9320 ,8980 ,7740 ,7290 ,5290 ,10500 ,,,,,,,
35,35018,Davenport,82920,3365999000 ,1920 ,5700 ,9530 ,10560 ,8880 ,7180 ,6710 ,6930 ,6200 ,5100 ,4290 ,3190 ,6730 ,,,,,,,
35,35019,Don Valley East,74130,3512085000 ,2390 ,5540 ,6060 ,6310 ,6330 ,6190 ,6590 ,6900 ,6120 ,4960 ,4530 ,3550 ,8660 ,,,,,,,
35,35020,Don Valley North,91440,3940288000 ,2720 ,7710 ,8900 ,8260 ,7220 ,7500 ,7840 ,7680 ,6870 ,6120 ,5940 ,4510 ,10170 ,,,,,,,
35,35021,Don Valley West,77860,8818703000 ,3410 ,5900 ,6070 ,5980 ,6360 ,7050 ,7700 ,7440 ,6380 ,5470 ,4880 ,3590 ,7640 ,,,,,,,
35,35022,Dufferin--Caledon,99390,5414112000 ,5450 ,8420 ,7280 ,7050 ,7750 ,8720 ,10020 ,10870 ,8790 ,6920 ,6120 ,4450 ,7560 ,,,,,,,
35,35023,Durham,98900,5134989000 ,4490 ,8350 ,7820 ,8530 ,8680 ,8560 ,8660 ,10010 ,8330 ,6870 ,6100 ,4400 ,8110 ,,,,,,,
35,35024,Eglinton--Lawrence,87330,7519241000 ,3760 ,6690 ,6730 ,7010 ,7540 ,7600 ,8160 ,8000 ,7320 ,6150 ,5450 ,3710 ,9220 ,,,,,,,
35,35025,Elgin--Middlesex--London,89400,4003397000 ,4120 ,6820 ,6010 ,6400 ,6580 ,6990 ,7210 ,8670 ,8260 ,7390 ,7060 ,5010 ,8880 ,,,,,,,
