Prov/Terr,FED ID,Federal Electoral Districts,Total,Total Income,"Under $5,000","$5,000 to $9,999","$10,000 to $14,999","$15,000 to $19,999","$20,000 to $24,999","$25,000 to $29,999","$30,000 to $34,999","$35,000 to $39,999","$40,000 to $44,999","$45,000 to $49,999","$50,000 to $54,999","$55,000 to $59,999","$60,000 to $69,999","$70,000 to $79,999","$80,000 to $89,999","$90,000 to $99,999","$100,000 to $149,999","$150,000 to $249,999","$250,000 and over",
24,24029,Honoré-Mercier,44510,1470087000 ,4220 ,3410 ,4600 ,5430 ,4370 ,3250 ,2860 ,2900 ,2670 ,2090 ,1650 ,1280 ,1900 ,1420 ,810 ,470 ,830 ,260 ,90 ,
24,24030,Hull--Aylmer,41340,1760901000 ,3290 ,2990 ,3660 ,3840 ,2790 ,2170 ,2080 ,2220 ,2210 ,1960 ,1780 ,1810 ,2830 ,2280 ,1800 ,1170 ,1960 ,410 ,110 ,
24,24031,Joliette,43220,1305549000 ,3730 ,3700 ,5350 ,6330 ,4400 ,3210 ,2880 ,2710 ,2450 ,1790 ,1330 ,1000 ,1440 ,1220 ,590 ,320 ,500 ,170 ,90 ,
24,24032,Jonquière,36880,1139530000 ,3290 ,3060 ,4040 ,4980 ,3750 ,2980 ,2570 ,2400 ,2160 ,1580 ,1200 ,970 ,1270 ,1080 ,520 ,290 ,520 ,160 ,70 ,
24,24033,La Pointe-de-l'Île,44930,1471861000 ,3570 ,3520 ,4780 ,5660 ,4260 ,3140 ,3030 ,3060 ,2810 ,2240 ,1750 ,1410 ,2000 ,1470 ,840 ,480 ,710 ,170 ,50 ,
24,24034,La Prairie,43850,1743097000 ,4540 ,2750 ,3620 ,3960 ,3390 ,2720 ,2640 ,2750 ,2770 ,2270 ,1930 ,1660 ,2610 ,2100 ,1250 ,800 ,1450 ,460 ,170 ,
24,24035,Lac-Saint-Jean,43240,1220795000 ,4230 ,4000 ,5430 ,6580 ,4460 ,3410 ,2850 ,2540 ,2340 ,1610 ,1200 ,870 ,1290 ,1150 ,460 ,290 ,350 ,140 ,70 ,
24,24036,Lac-Saint-Louis,45010,2044626000 ,5370 ,3140 ,3360 ,3480 ,3120 ,2510 ,2410 ,2510 ,2540 ,2130 ,1850 ,1600 ,2570 ,2340 ,1530 ,1000 ,2170 ,960 ,430 ,
24,24037,LaSalle--Émard--Verdun,45080,1451915000 ,4530 ,4030 ,4910 ,5610 ,3990 ,3120 ,2810 ,2790 ,2550 ,2010 ,1610 ,1310 ,1970 ,1360 ,860 ,490 ,850 ,210 ,80 ,
24,24038,Laurentides--Labelle,48890,1591520000 ,3650 ,3950 ,5920 ,6820 ,4930 ,3760 ,3390 ,3120 ,2840 ,2110 ,1650 ,1170 ,1800 ,1410 ,700 ,450 ,790 ,270 ,180 ,
24,24039,Laurier--Sainte-Marie,40190,1472893000 ,4700 ,3530 ,4080 ,4710 ,2760 ,2260 ,2160 ,2140 ,2040 ,1680 ,1420 ,1380 ,2070 ,1670 ,990 ,650 ,1380 ,410 ,170 ,
24,24040,Laval--Les Îles,43110,1541383000 ,4870 ,3270 ,4510 ,4850 ,3510 ,2720 ,2560 ,2450 ,2490 ,1950 ,1630 ,1270 ,2020 ,1680 ,970 ,620 ,1150 ,430 ,150 ,
