Summary Statistics of CCB Recipients and Payments by Federal Electoral Districts and Number of Dependent Children,,,Total of CCB Recipients,,1 Child,,2 Children,,3 Children,,4 Children,,5 or more Children,,Previously Dependent Children,,,,,,,,,
Prov/Terr,FED ID,Federal Electoral Districts,(#),($),(#),($),(#),($),(#),($),(#),($),(#),($),(#),($),,,,,,,,
24,24057,Pontiac,13890,77494000 ,5310 ,18155000 ,5740 ,33421000 ,1730 ,16362000 ,420 ,6130000 ,90 ,2294000 ,600 ,1132000 ,,,,,,,,
24,24058,Portneuf--Jacques-Cartier,13500,72313000 ,4830 ,14825000 ,6010 ,34467000 ,1720 ,15707000 ,340 ,4760000 ,80 ,1717000 ,530 ,836000 ,,,,,,,,
24,24059,Québec,6940,41583000 ,3260 ,12659000 ,2490 ,17230000 ,650 ,7071000 ,140 ,2347000 ,60 ,1492000 ,360 ,783000 ,,,,,,,,
24,24060,Repentigny,13450,76622000 ,5320 ,18301000 ,5420 ,33365000 ,1610 ,16349000 ,320 ,4732000 ,100 ,2674000 ,690 ,1201000 ,,,,,,,,
24,24061,Richmond--Arthabaska,11590,76657000 ,4230 ,16237000 ,4570 ,31616000 ,1600 ,17283000 ,460 ,7257000 ,110 ,2951000 ,620 ,1314000 ,,,,,,,,
24,24062,Rivière-des-Mille-Îles,11710,71256000 ,4580 ,15915000 ,4700 ,28495000 ,1310 ,13291000 ,320 ,5137000 ,210 ,7363000 ,610 ,1056000 ,,,,,,,,
24,24063,Rivière-du-Nord,12400,76358000 ,5260 ,20199000 ,4660 ,31911000 ,1400 ,15319000 ,330 ,5419000 ,90 ,2131000 ,670 ,1379000 ,,,,,,,,
24,24064,Rosemont--La Petite-Patrie,10390,57647000 ,5340 ,19956000 ,3740 ,25245000 ,770 ,8312000 ,150 ,2604000 ,30 ,775000 ,380 ,755000 ,,,,,,,,
24,24065,Marc-Aurèle-Fortin,12600,70280000 ,4770 ,15756000 ,5320 ,31591000 ,1610 ,16390000 ,280 ,4281000 ,60 ,1325000 ,570 ,936000 ,,,,,,,,
24,24066,Saint-Hyacinthe--Bagot,11010,73961000 ,4140 ,16060000 ,4210 ,29179000 ,1550 ,17321000 ,410 ,6755000 ,140 ,3516000 ,570 ,1130000 ,,,,,,,,
24,24067,Saint-Jean,12620,73757000 ,5040 ,18244000 ,5060 ,32234000 ,1520 ,15714000 ,310 ,4665000 ,70 ,1774000 ,620 ,1125000 ,,,,,,,,
24,24068,Saint-Laurent,12120,94981000 ,4740 ,20428000 ,4660 ,38100000 ,1680 ,23067000 ,440 ,8558000 ,120 ,3480000 ,490 ,1348000 ,,,,,,,,
24,24069,Saint-Léonard--Saint-Michel,14970,129402000 ,6010 ,28766000 ,5510 ,51814000 ,2290 ,33899000 ,530 ,11040000 ,90 ,2463000 ,530 ,1419000 ,,,,,,,,
24,24070,Saint-Maurice--Champlain,10430,69830000 ,4260 ,17292000 ,3930 ,28142000 ,1200 ,14067000 ,330 ,5951000 ,110 ,2949000 ,620 ,1428000 ,,,,,,,,
24,24071,Salaberry--Suroît,12430,81543000 ,5080 ,20001000 ,4700 ,33255000 ,1500 ,17269000 ,400 ,6834000 ,110 ,2750000 ,640 ,1433000 ,,,,,,,,
24,24072,Shefford,12440,81804000 ,4710 ,18002000 ,4880 ,33578000 ,1610 ,17430000 ,510 ,8327000 ,130 ,3278000 ,610 ,1188000 ,,,,,,,,
24,24073,Sherbrooke,10880,72147000 ,4570 ,18563000 ,3910 ,28123000 ,1340 ,15437000 ,320 ,5436000 ,120 ,3356000 ,610 ,1231000 ,,,,,,,,
24,24074,Vaudreuil--Soulanges,14250,76847000 ,5290 ,17202000 ,6110 ,35074000 ,1810 ,17008000 ,350 ,4967000 ,70 ,1535000 ,620 ,1060000 ,,,,,,,,
24,24075,Terrebonne,14590,84203000 ,5430 ,18774000 ,6180 ,37535000 ,1830 ,18700000 ,430 ,6379000 ,80 ,1678000 ,650 ,1137000 ,,,,,,,,
24,24076,Trois-Rivières,10060,62518000 ,4280 ,17132000 ,3810 ,25897000 ,1050 ,11677000 ,280 ,4620000 ,80 ,1960000 ,570 ,1231000 ,,,,,,,,
24,24077,Ville-Marie--Le Sud-Ouest--Île-des-Soeurs,7700,54135000 ,4010 ,16953000 ,2390 ,19770000 ,680 ,10181000 ,200 ,4214000 ,70 ,1927000 ,360 ,1090000 ,,,,,,,,
24,24078,Vimy,11670,83424000 ,5020 ,21506000 ,4340 ,34693000 ,1370 ,18017000 ,310 ,5831000 ,80 ,2149000 ,550 ,1229000 ,,,,,,,,
TOTAL,,,868180,5435913000 ,353020 ,1338118000 ,338560 ,2284028000 ,103520 ,1140713000 ,24390 ,402076000 ,6960 ,185560000 ,41740 ,85417000 ,,,,,,,,
35,35001,Ajax,15080,94575000 ,6290 ,23149000 ,5790 ,38782000 ,1810 ,21426000 ,380 ,6793000 ,110 ,3039000 ,690 ,1386000 ,,,,,,,,
35,35002,Algoma--Manitoulin--Kapuskasing,7520,53187000 ,3120 ,13326000 ,2670 ,20174000 ,940 ,11678000 ,230 ,4191000 ,90 ,2528000 ,480 ,1289000 ,,,,,,,,
35,35003,Aurora--Oak Ridges--Richmond Hill,12920,67556000 ,5590 ,19234000 ,5300 ,32191000 ,1190 ,11268000 ,190 ,2639000 ,40 ,944000 ,610 ,1280000 ,,,,,,,,
35,35004,Barrie--Innisfil,13450,79867000 ,5410 ,20053000 ,5360 ,34158000 ,1630 ,16913000 ,340 ,5455000 ,80 ,2060000 ,630 ,1230000 ,,,,,,,,
35,35005,Barrie--Springwater--Oro-Medonte,9640,60708000 ,4080 ,16543000 ,3720 ,25879000 ,1020 ,11372000 ,240 ,4174000 ,60 ,1598000 ,520 ,1141000 ,,,,,,,,
35,35006,Bay of Quinte,10640,74121000 ,4640 ,19916000 ,3790 ,28743000 ,1240 ,15374000 ,320 ,5976000 ,100 ,2767000 ,550 ,1346000 ,,,,,,,,
35,35007,Beaches--East York,10660,63571000 ,4980 ,19305000 ,4110 ,27827000 ,900 ,10819000 ,190 ,3414000 ,40 ,1083000 ,440 ,1123000 ,,,,,,,,
