Summary Statistics of GST/HST Credit Recipients and Payments by Federal Electoral Districts and Number of Dependent Children,,,Total of GST/HST Credit Recipients,,No Children,,1 Child,,2 Children,,3 or more Children,,,,,,,,,,,,,
Prov/Terr,FED ID,Federal Electoral Districts,(#),($),(#),($),(#),($),(#),($),(#),($),,,,,,,,,,,,
24,24065,Marc-Aurèle-Fortin,26880,10461000 ,24440 ,8707000 ,1060 ,687000 ,820 ,596000 ,560 ,471000 ,,,,,,,,,,,,
24,24066,Saint-Hyacinthe--Bagot,34990,13968000 ,32010 ,11843000 ,1430 ,918000 ,830 ,590000 ,720 ,617000 ,,,,,,,,,,,,
24,24067,Saint-Jean,35370,13903000 ,32770 ,12097000 ,1390 ,907000 ,770 ,539000 ,440 ,360000 ,,,,,,,,,,,,
24,24068,Saint-Laurent,34960,15344000 ,29180 ,10871000 ,2120 ,1422000 ,2180 ,1650000 ,1490 ,1401000 ,,,,,,,,,,,,
24,24069,Saint-Léonard--Saint-Michel,45450,20345000 ,37610 ,14238000 ,3010 ,2078000 ,2850 ,2177000 ,1990 ,1852000 ,,,,,,,,,,,,
24,24070,Saint-Maurice--Champlain,41640,16814000 ,38630 ,14555000 ,1510 ,1016000 ,860 ,645000 ,640 ,597000 ,,,,,,,,,,,,
24,24071,Salaberry--Suroît,39240,15991000 ,35940 ,13522000 ,1630 ,1104000 ,1010 ,763000 ,670 ,602000 ,,,,,,,,,,,,
24,24072,Shefford,36530,14715000 ,33360 ,12443000 ,1540 ,1007000 ,890 ,629000 ,740 ,636000 ,,,,,,,,,,,,
24,24073,Sherbrooke,43770,17326000 ,40370 ,14834000 ,1630 ,1064000 ,1030 ,758000 ,740 ,671000 ,,,,,,,,,,,,
24,24074,Vaudreuil--Soulanges,28920,11236000 ,26530 ,9548000 ,1160 ,754000 ,760 ,542000 ,470 ,393000 ,,,,,,,,,,,,
24,24075,Terrebonne,29780,11795000 ,27020 ,9819000 ,1360 ,900000 ,830 ,595000 ,570 ,482000 ,,,,,,,,,,,,
24,24076,Trois-Rivières,43380,17106000 ,40670 ,15134000 ,1520 ,1013000 ,740 ,543000 ,460 ,415000 ,,,,,,,,,,,,
24,24077,Ville-Marie--Le Sud-Ouest--Île-des-Soeurs,53580,20856000 ,50350 ,18291000 ,1590 ,1108000 ,1030 ,839000 ,610 ,618000 ,,,,,,,,,,,,
